,cnpj,razao_social,id_municipio,peso_cobre_ajustado,valor_fob_ajustado,total_peso_municipio,total_valor_fob_municipio
605,35760418000181,ARS IMPORTACAO E EXPORTACAO EIRELI,3170206,564.3365384615385,3811.894230769231,157085937,212286679
606,25072350000194,BLUE7 SOLUCOES DIGITAIS LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
607,25350227000198,BRUNO ARAUJO PIRES 08985977652,3170206,564.3365384615385,3811.894230769231,157085937,212286679
608,19235960000169,CAL-HAND TECNOLOGIA E SERVICOS DE PRECISAO EIRELI,3170206,564.3365384615385,3811.894230769231,157085937,212286679
609,26445328000105,CLAUDIA GIMENES NUNES 10653101619,3170206,564.3365384615385,3811.894230769231,157085937,212286679
610,28368972000152,CODE COMERCIO E IMPORTACAO LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
611,19821123000111,CONPROVE ENGENHARIA LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
612,20977693000184,DAMA SEMIJOIAS LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
613,23441714000130,DANKE BRAZIL IMPORTACAO E DISTRIBUICAO EIRELI,3170206,564.3365384615385,3811.894230769231,157085937,212286679
614,23511319000187,EL PASO IMPORTACAO E COMERCIO EIRELI,3170206,564.3365384615385,3811.894230769231,157085937,212286679
615,64444110000125,ENGEMAC ENGENHARIA LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
616,31976783000177,FABIO GUIMARAES E MELO 04008021639,3170206,564.3365384615385,3811.894230769231,157085937,212286679
617,18342795000181,FELIPE XAVIER DE LIMA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
618,14793579000100,FELIX IMPORTACAO E COMERCIALIZACAO LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
619,14018796000114,GENESIS LOCACAO DE EQUIPAMENTOS DE USINAGEM EIRELI,3170206,564.3365384615385,3811.894230769231,157085937,212286679
620,13236058000180,"GUIRA INDUSTRIA, SERVICOS E TECNOLOGIA LTDA",3170206,564.3365384615385,3811.894230769231,157085937,212286679
621,11480601000165,INDUSTRIA DE ALIMENTOS SABORES DA ROCA EIRELI,3170206,564.3365384615385,3811.894230769231,157085937,212286679
622,18224229000175,"INOVAFIX COMERCIO, IMPORTACAO E EXPORTACAO LTDA",3170206,564.3365384615385,3811.894230769231,157085937,212286679
623,10457557000100,JTGIM INDUSTRIA COMERCIO E SERVICOS LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
624,28398058000154,KLAUSEM INDUSTRIA E COMERCIO DE BEBIDAS DESTILADAS LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
625,32465155000513,LABORATORIOS DUPRAT LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
626,23054655000148,LETICIA MANZAN INDUSTRIA E COMERCIO LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
627,25902697000117,MAYCON TEIXEIRA LEMES,3170206,564.3365384615385,3811.894230769231,157085937,212286679
628,27501132000153,MEGA VARIEDADE LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
629,19104277000192,MELO DISTRIBUIDORA EIRELI,3170206,564.3365384615385,3811.894230769231,157085937,212286679
630,34067757000114,MINAS TRONCOS INDUSTRIA E COMERCIO DE MADEIRAS LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
631,18199439000150,MORADA DESIGN CORTINAS E PERSIANAS LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
632,33091803000158,MOVIMENTO NATURAL VIBE EIRELI,3170206,564.3365384615385,3811.894230769231,157085937,212286679
633,10409455000119,MULTIVISI COMERCIO E IMPORTACAO EIRELI,3170206,564.3365384615385,3811.894230769231,157085937,212286679
634,14738104000102,NUCLEAR SERVICOS ELETRONICOS EIRELI - ME,3170206,564.3365384615385,3811.894230769231,157085937,212286679
